,Latitude,Longitude,HydroSHEDS_ID,Aridity,Evaporative_index,Elevation,Slope,NDVI
34,47.026,56.8482,2050086000,0.466308629,0.404363814,113.598,0.7608,0.168
35,1.2711,9.6235,1050021120,0.070825159,0.176604989,48.4401,2.9733,0.51
36,14.1466,23.6798,1050652970,0.227626992,0.384244183,949.3556,1.2542,0.243
37,24.5519,68.5511,4050033430,0.462440471,0.597349952,6.9404,0.1133,0.192
38,-15.8551,47.0337,1050036870,0.110150333,0.27930271,105.6095,2.2638,0.556
39,-32.3245,18.5588,1050015400,0.463138427,0.419915601,188.8101,3.9111,0.37
40,-23.66,28.74,1051552590,0.234397149,0.395320449,1062.6298,2.7825,0.399
41,-20.3082,131.7441,5050087680,0.318831067,0.34912582,400.8001,0.4612,0.306
42,23.6478,-8.5477,1050042100,3.522886205,0.623044359,284.989,0.2989,0.058
43,14.786,-87.8967,7050053320,0.11087218,0.296374082,886.9251,12.3049,0.706
44,-32.6999,-62.804,6050879890,0.150819502,0.364952747,215.9756,0.6535,0.592
45,-10.5271,14.7042,1050019270,0.143865452,0.320854883,879.4906,4.6925,0.61
46,17.5301,-1.8591,1050041510,0.552582978,0.464785358,292.6656,0.5816,0.12
47,41.9057,-71.3887,7050039170,0.092921673,0.269112252,74.8757,2.4173,0.621
48,43.905,99.1925,4050050630,1.146394297,0.387230851,1446.258,2.281,0.058
49,38.5745,87.902,4050476110,1.101362742,0.357723405,2220.6146,11.1297,0.047
50,69.3996,-121.6924,8050010440,0.290047249,0.197744688,401.4064,3.0264,0.116
51,-32.8701,138.0046,5050074330,0.287133831,0.551915555,167.8893,4.4299,0.432
52,50.1363,-56.6451,7050060320,0.073735919,0.131652775,218.1768,4.8421,0.405
53,7.9672,31.8809,1050846100,0.192286094,0.382009724,406.432,0.0616,0.473
54,56.2052,-75.2239,7050026050,0.115696135,0.166129513,230.7726,4.3563,0.226
55,-10.6319,-61.9209,6050425550,0.075219114,0.242645494,209.6984,2.5529,0.741
56,57.5258,66.5282,3050493080,0.183423845,0.388411276,67.8411,0.5072,0.424
57,68.4572,71.0778,3050000230,0.148148148,0.180076304,36.4574,0.9683,0.176
58,4.2849,22.3256,1051037650,0.106352209,0.402236254,453.8099,1.9452,0.75
59,-22.2785,23.766,1051548450,0.29562706,0.401445078,984.9885,0.2494,0.278
60,42.5861,88.9646,4050050410,0.749594829,0.320647469,1255.5042,7.3019,0.081
61,-21.7381,124.0479,5050088230,0.359098518,0.397641954,305.3087,0.6989,0.23
62,26.765,-11.0628,1050241300,2.245150798,0.393211621,331.8531,1.4972,0.078
63,15.7466,-9.0033,1050576090,0.269514851,0.391239403,223.6765,0.4051,0.271
64,58.1289,-6.6658,2050054000,0.054888345,0.201968339,76.9678,5.7902,0.329
65,70.3736,138.7677,3050009770,0.24125653,0.211953969,170.4757,3.3129,0.214
66,-7.7044,30.3687,1051265730,0.154119322,0.301113753,1188.285,3.8955,0.363
67,70.969,137.505,3050009680,0.242501777,0.266299453,11.9777,0.6415,0.185
68,55.0168,-60.5661,7050030880,0.089135817,0.128166341,120.9996,5.6862,0.218
69,24.839,-13.3083,1050289910,1.683834711,0.414524715,255.0347,0.5183,0.089
70,30.5669,114.08,4050748300,0.084577652,0.285983243,25.6186,1.0432,0.379
71,-2.2419,-61.4169,6050280400,0.062502634,0.187165551,52.2255,1.7079,0.739
72,55.7709,-62.7119,7050030660,0.084665012,0.107903107,419.0661,6.4876,0.217
73,-15.2045,-48.3616,6050594790,0.091382779,0.287522065,782.4522,5.9445,0.614
74,32.395,-86.5849,7050715800,0.096526024,0.328060637,91.9664,2.0024,0.72
75,27.3823,20.184,1050043290,7.647111913,0.89814933,211.5526,0.9817,0.087
76,62.8195,23.2258,2050029570,0.134837738,0.239899323,94.3761,0.9393,0.535
77,-19.7534,125.3693,5050087750,0.277000121,0.39507679,223.924,0.512,0.265
78,8.3139,-0.7047,1050915980,0.125107541,0.378991197,150.3461,1.0997,0.509
79,14.8618,-12.1121,1050631860,0.178625865,0.415889146,50.5297,0.7607,0.309
80,64.7646,-16.2263,2050058330,0.034058776,0.041411567,539.9457,6.2474,0.061
81,53.6929,-116.3432,8050338780,0.150367884,0.270561359,1162.4271,6.5769,0.52
82,39.4036,66.3503,4050484700,0.270396881,0.281709085,1056.6755,7.8579,0.228
83,61.732,99.8664,3050368720,0.188239707,0.26613624,419.2325,2.6279,0.321
84,53.9002,-90.3738,7050151690,0.158133268,0.249214407,220.3913,0.7855,0.408
85,-28.8014,144.6958,5050087630,0.337554437,0.418522136,163.7807,0.4849,0.319
86,46.7024,48.5606,2050068250,0.429856242,0.445902197,-17.6702,0.262,0.299
87,49.7717,13.357,2050429790,0.100846328,0.321124792,486.1048,4.5712,0.623
88,55.0585,-99.079,7050134090,0.189064168,0.308411442,252.9556,1.0442,0.521
89,31.1744,53.315,2050085730,0.383186735,0.409674033,1924.8546,3.9962,0.091
90,22.7235,102.9653,4051005540,0.082085377,0.174895745,1250.9126,22.5189,0.671
91,24.5958,-3.9107,1050046820,6.511407767,0.695009757,280.3978,1.9129,0.09
92,52.1809,16.2834,2050362210,0.131070624,0.359764835,85.0627,0.991,0.587
93,10.348,-67.2624,6050003220,0.161157901,0.316277925,469.5462,11.9142,0.706
94,49.0918,128.9507,4050150470,0.194186107,0.312377963,318.0489,2.4687,0.43
95,67.465,92.8467,3050193350,0.099508084,0.102048022,574.4966,5.9546,0.191
96,54.9687,119.1541,3050565810,0.18821301,0.237240212,925.349,7.4529,0.383
97,31.7408,92.3371,4050718400,0.242709417,0.180696824,4806.2938,10.0942,0.268
98,37.0548,38.5628,2050737850,0.181073659,0.385211481,760.4229,4.7015,0.218
99,-31.8895,-69.2449,6050877660,0.479121063,0.299669528,2357.2368,13.2689,0.18
100,63.735,134.0575,3050299300,0.223563004,0.236533984,664.7222,9.5296,0.251
101,-2.1314,15.5954,1051213630,0.083833227,0.361886502,464.1649,3.6008,0.602
102,42.9368,-76.4887,7050439780,0.103553913,0.239040868,253.6508,2.7655,0.559
103,-24.5333,46.3647,1050039750,0.137316964,0.295049838,305.9596,6.3619,0.565
